Gene type	Gene name
Mt_rRNA	MT-RNR1
Mt_rRNA	MT-RNR2
protein_coding	MT-ND1
protein_coding	MT-ND2
protein_coding	MT-CO1
protein_coding	MT-CO2
protein_coding	MT-ATP8
protein_coding	MT-ATP6
protein_coding	MT-CO3
protein_coding	MT-ND3
protein_coding	MT-ND4L
protein_coding	MT-ND4
protein_coding	MT-ND5
protein_coding	MT-ND6
protein_coding	MT-CYB
protein_coding	RYBP
protein_coding	ACR
protein_coding	OGN
protein_coding	OMD
protein_coding	SHANK3
protein_coding	IARS1
lncRNA	LINC01784
protein_coding	NOL8
protein_coding	ARHGEF19
protein_coding	CENPP
protein_coding	ECM2
protein_coding	CPLANE2
protein_coding	ACTG1
protein_coding	ASPN
protein_coding	NECAP2
lncRNA	LINC03048
snRNA	RNU1-1
lncRNA	LINC01783
snRNA	RNU1-4
protein_coding	PADI2
protein_coding	OR8J2
protein_coding	OR5T2
protein_coding	OR5T3
protein_coding	OR5T1
protein_coding	OR8H1
protein_coding	OR8K3
protein_coding	OR8K1
protein_coding	OR8J1
protein_coding	NPY4R2
protein_coding	GRK1
protein_coding	TSPY8
protein_coding	TSPY4
protein_coding	TSPY9
protein_coding	C1R
protein_coding	OR4C12
protein_coding	OR4C45
lncRNA	LINC03015
protein_coding	C1RL
lncRNA	LINC03014
protein_coding	FAM20C
lncRNA	C1RL-AS1
protein_coding	RBP5
protein_coding	CLSTN3
protein_coding	PEX5
lncRNA	SERTAD4-AS1
protein_coding	HHAT
protein_coding	GCGR
protein_coding	MCRIP1
protein_coding	CRLF2
lncRNA	ASMTL-AS1
lncRNA	LINC00106
protein_coding	BCL2L14
protein_coding	LRP6
protein_coding	AKAP17A
protein_coding	PPP2R3B
protein_coding	P2RY8
protein_coding	IL3RA
protein_coding	ZBED1
protein_coding	BORCS5
protein_coding	DHRSX
protein_coding	DUSP16
protein_coding	SLC25A6
protein_coding	ASMT
protein_coding	CSF2RA
protein_coding	CD99
protein_coding	OBP2B
protein_coding	SURF6
protein_coding	WASH6P
protein_coding	MED22
protein_coding	VAMP7
protein_coding	RPL7A
protein_coding	IL9R
protein_coding	SURF1
lncRNA	TTTY19
lncRNA	TTTY4
lncRNA	TTTY17A
protein_coding	SURF4
lncRNA	FAM41AY1
protein_coding	ECSCR
protein_coding	STING1
protein_coding	REXO4
lncRNA	TTTY4C
protein_coding	SRY
protein_coding	AMELY
protein_coding	ADAMTS13
protein_coding	RPS4Y2
lncRNA	TTTY3B
lncRNA	TTTY17B
lncRNA	TTTY4B
