plate,A549,HS-578T,HCT15,HOP62,SK-MEL-2,A498,LOX-IMVI,COLO 205,HT-29,SW480,LoVo,SW1417,RKO,SHP-77,SW 900,MIA PaCa-2,CFPAC-1,AsPC-1,Hs 766T,PANC-1,BT-474,SW48,J82,LS 180,HepG2/C3A,RPMI-7951,Panc 03.27,HEC-1-A,C-33 A,NCI-H1573,NCI-H460,NCI-H661,NCI-H596,A-427,CHP-212,H4,SW 1088,SNU-423,SW 1271,C32,KATO III,SNU-1,AN3 CA,NCI-H2347,A-172,hTERT-HPNE,NCI-H23,NCI-H1792,NCI-H2122,NCI-H2030
1,148797,80592,77756,157338,66477,111913,106831,99225,151033,331359,230606,121165,129904,58774,93701,55662,120518,174112,61914,161526,82107,66180,101210,136187,89343,95923,98495,191493,75629,135843,314495,5484,972,66294,24301,53375,15870,82397,12903,130758,146308,45989,28220,133794,141222,126202,98815,90011,1945,168962
2,223101,117684,118515,254213,99743,178070,157541,127655,187486,480148,309079,171927,184401,98346,137898,89488,172357,236554,90126,248349,112036,94917,167795,178638,140296,135952,133555,284520,119985,184015,466587,7714,1252,95099,36576,72599,23087,126293,21689,192514,200646,63577,47914,188585,212589,189282,153818,128459,2398,222116
3,122544,77799,44911,143129,50194,111970,98584,52090,109716,232314,139216,106143,96493,48219,69367,58610,119334,104704,43315,152642,72151,41686,120561,88251,62444,57542,79344,141079,63545,89440,208763,6758,1343,63249,13850,33509,12465,86652,9301,86696,117559,29309,23527,144993,146867,75211,87262,68910,2018,142699
4,211760,107616,101049,225834,107435,182094,157113,104941,158401,413349,234961,145669,181063,93910,111202,95606,150144,200832,83096,234414,105978,74543,181187,121128,120248,114548,113488,201790,114540,151943,356992,8006,1272,106915,28714,58584,13051,115911,17144,160500,165008,59512,48954,163814,199685,129343,148743,121611,2547,173696
5,176821,110764,62123,225254,100581,189521,155140,76293,137211,295200,192954,122135,152710,79450,96534,95124,142075,170561,65663,233015,96318,53774,203994,100089,96679,88102,101024,170939,94230,132994,255782,9854,1476,125662,22668,49552,11067,133993,12705,129386,133845,50023,49682,162449,210885,109438,137451,111116,2518,171647
6,222583,110528,121146,238022,123468,186456,171397,116303,165340,455700,259647,150273,200724,126949,118782,103126,156055,234782,90494,232718,117234,82050,203787,118973,157353,126226,115833,214996,135213,174706,385345,8813,1020,123849,34262,62550,13102,121380,18330,174547,172434,74653,72369,167438,213455,162243,152266,126988,2126,167822
7,133536,110494,76083,196819,92689,174000,139871,67657,108805,309248,139282,92492,105812,159760,94019,203010,161906,90239,191330,277113,53453,37598,138526,89541,36462,91304,105443,105952,74792,98253,303664,8571,1376,88799,32612,64596,4119,73728,9297,86874,111798,77056,23945,135815,98566,71263,91918,115072,1494,71716
8,200376,148423,159882,270657,157927,223723,200366,139967,185969,590435,233173,163787,189062,321505,147439,305368,237819,164583,320139,405998,109406,81060,179839,155966,73078,146121,156217,171160,147970,164400,514777,13094,1283,136695,65608,97202,5875,98953,15886,152110,192503,156275,46571,185797,158070,110964,133869,177059,1816,100145
9,130616,104936,98489,186089,94863,161930,130006,86631,124379,374536,160305,103886,114094,172397,101459,192471,162846,101700,205047,266922,65123,52403,122351,108971,51054,89584,104554,119509,78947,109769,367791,8841,1167,86031,38791,67884,4779,73443,10425,97771,128865,85091,26048,128287,105515,75848,88396,119628,1640,77514
10,187828,150317,128770,281267,130686,236528,179789,115624,165044,523619,206069,141725,167539,240553,143969,275893,196475,136347,305717,384149,80640,71287,178146,142309,64487,132768,138882,157891,114601,141653,536547,10434,1404,107125,47755,98558,7541,107997,14683,144845,171261,121466,35780,157015,142590,115289,128062,154660,1823,106579
11,184511,164391,105587,278089,100778,251558,160317,98872,148277,443046,173755,121942,140778,169118,143182,241301,170115,125300,288839,367480,64876,56243,160085,136080,54610,126194,123554,148636,82070,124682,546573,7937,1521,78504,41422,100754,8166,113816,13183,136304,147514,94367,25724,142323,138742,123460,122401,145411,1918,118514
12,251718,191311,175939,368151,181966,317974,238734,140939,201821,666766,259205,185753,226172,365196,188856,377866,248737,190061,417574,514092,115593,89244,250204,171556,96426,172860,169258,212652,166977,199239,637753,14484,1480,138525,66551,124576,8105,135933,21310,198166,204305,178040,59365,201926,192296,157615,168176,199146,1974,126025
13,198432,153162,143360,272937,155797,244410,192152,119813,171057,540083,228390,152493,167457,274192,148483,271429,228618,155190,300592,401107,95226,73379,186260,142417,72606,135655,151443,175925,129908,160249,476823,12448,1490,128068,57178,96489,5846,107330,15424,146284,178389,137576,40182,178804,163410,109166,132764,171015,2030,103562
14,175215,97269,86511,209503,86107,167567,120342,110795,156497,384568,246604,142352,126105,74167,114005,67693,137633,174211,71890,210061,101777,79835,149037,138193,129106,94773,109009,218083,84861,149805,364346,7807,1284,85299,27503,61838,15986,123874,17003,154497,159208,48774,37797,136623,190242,126986,130389,109444,2382,186221
