drug,median_log1p_mag,mean_log1p_mag,std_log1p_mag,n_comparisons,rank,moa
Dinaciclib,3.2583525,3.2316163,0.3023604,126,1,CDK inhibitor
Panobinostat,3.1751552,3.0840707,0.42980775,144,2,HDAC inhibitor
Idarubicin (hydrochloride),3.0296078,2.8061976,0.8332885,190,3,DNA synthesis/repair inhibitor
Homoharringtonine,2.959589,2.8439338,0.5262787,187,4,Protein synthesis inhibitor
Bortezomib,2.6806204,2.6500285,0.35821292,137,5,Proteasome inhibitor
Belinostat,2.3230407,2.271183,0.7729683,142,6,HDAC inhibitor
Brivudine,2.2481642,2.026692,0.72787994,144,7,unclear
HI-TOPK-032,2.2401989,2.162025,0.41542917,140,8,unclear
Tucidinostat,2.2200513,2.071623,0.72500396,192,9,HDAC inhibitor
BAY1125976,2.210441,1.9839731,0.65348727,144,10,PI3K/AKT inhibitor
TAK-901,2.208142,2.0461583,0.5898702,142,11,unclear
PH-797804,2.2008297,1.9407184,0.72578865,143,12,Other MAPK inhibitor
Harringtonine,2.130488,2.0928106,0.6145928,142,13,Protein synthesis inhibitor
Pralsetinib,2.1115959,1.9217743,0.64363927,189,14,Other TK inhibitor
Sapanisertib,2.1027408,1.9120691,0.71314883,144,15,MTOR inhibitor
Diphenhydramine,2.0841303,1.8589448,0.68982357,144,16,unclear
AZD-7648,2.0836186,1.8263253,0.7327623,139,17,DNA synthesis/repair inhibitor
Topotecan (hydrochloride),2.0730433,2.0568259,0.8971456,187,18,DNA synthesis/repair inhibitor
LY-2584702 (tosylate salt),2.020672,1.7123538,0.6949049,136,19,MTOR inhibitor
Pexidartinib (hydrochloride),1.9884379,1.7100325,0.68275636,142,20,Multi-TK inhibitor
Selinexor,1.97624,1.8995872,0.58632684,188,21,unclear
Fluvoxamine,1.9707098,1.9256158,0.3041838,142,22,unclear
EX229,1.9684297,1.7925746,0.65441775,142,23,unclear
venetoclax,1.9622146,1.8981942,0.5632105,143,24,unclear
Elimusertib hydrochloride,1.9392359,1.9237303,0.4181859,139,25,unclear
Larotrectinib,1.931737,1.8895085,0.397385,190,26,Other TK inhibitor
GSK1059615,1.9254271,1.9853772,0.54069674,143,27,PI3K/AKT inhibitor
