drug,median_log1p_edist,mean_log1p_edist,n_comparisons_edist,median_log1p_mag,moa
(R)-Verapamil (hydrochloride),2.355816823285531,2.201552428508483,192,1.0117764,unclear
(S)-Crizotinib,2.652297996819417,2.4669473876593373,143,1.6185461,unclear
18β-Glycyrrhetinic acid,2.112623459010985,2.0660046988842233,192,1.3230568,unclear
4EGI-1,2.265470967035163,2.239552827387531,141,1.2689282,Protein synthesis inhibitor
5-Azacytidine,2.1698063797031306,2.08349857700857,142,1.100283,DNA methyltransferase inhibitor
5-Fluorouracil,2.0830316816772667,2.00752932692624,144,1.0803673,DNA synthesis/repair inhibitor
8-Hydroxyquinoline,1.842155856845152,1.8402392310202702,192,1.6911167,unclear
9-ING-41,3.5946955761114094,3.4461781311402295,143,1.7503343,GSK3 inhibitor
APTO-253,2.519817744419737,2.4821888152228064,143,1.2371182,unclear
AT7519,1.799411777856792,1.8053134504304336,143,1.3208246,CDK inhibitor
AZD-7648,3.1154041874214498,3.256162337328864,139,2.0836186,DNA synthesis/repair inhibitor
AZD-8055,2.5160694209600303,2.430099440580123,144,1.4249723,MTOR inhibitor
AZD1390,2.6519878468866565,2.60339068523566,142,1.3548048,unclear
AZD2858,2.2045411786014677,2.3667222595214175,136,1.7077751,GSK3 inhibitor
Abemaciclib,3.369752861939654,3.287401237081339,144,1.5151056,CDK inhibitor
Abiraterone acetate,1.7938006959077704,1.8027254502668508,144,1.2815115,unclear
Acetazolamide,2.168439070001736,2.068847489589745,143,1.1491535,unclear
Acetohexamide,2.114990567173192,2.106662166150319,190,1.2821789,unclear
Adagrasib,1.3325905268672942,1.3962552943800175,667,0.961365,RAS inhibitor
Adenine,1.9592580758247606,1.9336585290082888,191,0.99146307,unclear
Adenosine,1.7358547234589232,1.6273113998926176,191,0.89373726,unclear
Afatinib,1.9200719990701602,2.0672289774202084,334,1.4703867,EGFR/ERBB inhibitor
Aliskiren,1.8380449354567143,1.7955703453046212,192,1.0592749,unclear
Allantoin,2.460922841985677,2.252787635556548,192,1.1273643,unclear
Allopurinol,2.103111169935863,2.1776772365948394,144,1.1405759,unclear
Almonertinib (hydrochloride),2.2167034921930586,2.183143292706553,192,1.2822016,EGFR/ERBB inhibitor
Almonertinib (mesylate),2.53909231049537,2.330221754064111,191,1.7170022,EGFR/ERBB inhibitor
Alpelisib,1.892143124482795,1.936564494176152,142,1.146665,PI3K/AKT inhibitor
Altretamine,2.198481139575206,2.1502674163732487,142,1.4415541,DNA synthesis/repair inhibitor
Amsacrine,2.403228147482561,2.449175497031738,192,1.8846688,DNA synthesis/repair inhibitor
Anastrozole,1.6972688137062732,1.6279770154819013,144,0.964808,unclear
Anethole trithione,2.4920752143138545,2.4210318424447514,192,1.2741833,unclear
Apalutamide,2.265292421187757,2.0732719854797876,141,1.1732098,Androgen receptor antagonist
Aprepitant,2.1711603427620694,2.260714390083975,143,1.0489056,unclear
Arbutin,1.1619601066058909,1.1353385435606385,141,1.0153797,unclear
Artemether,2.2544244958520245,2.2433148338326685,144,1.3346076,unclear
Artesunate,2.599161159305441,2.576908955577156,192,0.90841854,JAK/STAT inhibitor
Asciminib,2.3539143327988827,2.4392384388402886,143,1.3254665,Other TK inhibitor
Aspirin,1.9428131784050642,1.8221380604110513,144,0.8373587,Cyclooxygenase inhibitor
Ataluren,1.7411357639398335,1.6644066796438763,144,1.0679684,unclear
Atazanavir (sulfate),2.81882620301421,2.7952550788977946,144,1.3455057,unclear
Auranofin,3.002403189537219,3.285627947624315,143,1.1547933,unclear
Azithromycin (hydrate),2.3227671273808026,2.272283438942681,192,1.3588606,unclear
BAY1125976,4.100104870303891,3.5810643388542513,144,2.210441,PI3K/AKT inhibitor
BI-3406,2.5117844958876456,2.4966058599136987,144,1.503383,RAS inhibitor
BI-78D3,3.116638273571496,3.2067188539144,143,1.7442541,Other MAPK inhibitor
Baicalin,2.0784166151254855,1.8862897874877655,192,1.0742176,unclear
Balsalazide (sodium hydrate),2.0192366091624177,1.9422426402399156,191,1.1409707,JAK/STAT inhibitor
Belinostat,3.222552397849136,3.493783694327608,142,2.3230407,HDAC inhibitor
Belumosudil,2.1067488884737617,2.1409713722854264,190,1.2939117,unclear
Belumosudil (mesylate),2.5686551097262815,2.481539411509935,144,1.7025435,unclear
Belzutifan,2.8745642133648874,2.961610392918581,103,1.5739731,unclear
Bendamustine,1.4659941422317322,1.4679314335436038,143,1.247808,DNA synthesis/repair inhibitor
Benproperine (phosphate),2.598653779292589,2.500838928278136,142,1.2322661,unclear
Bentamapimod,3.4286231406626753,3.1236089818809036,143,1.5665743,Other MAPK inhibitor
Benztropine (mesylate),1.9553617377886836,1.8471905120803287,144,1.0982049,unclear
Berbamine,2.614169242648893,2.4092426473637483,240,1.3929377,unclear
Berbamine (dihydrochloride),1.744971096130909,1.8772836824406811,191,1.0594219,unclear
Berberine (chloride hydrate),2.0421077852608978,1.9146556704786712,192,1.4066703,unclear
Bergenin,1.9272591843057567,1.815922412315843,192,0.8945693,unclear
Bestatin,2.145329867052607,2.1488876222902635,142,1.3201089,unclear
Bestatin (hydrochloride),2.1051384772100326,2.0003273900422616,143,1.7043849,unclear
Betamethasone dipropionate,2.2396235408795975,2.211850144358297,141,1.4035667,Glucocorticoid receptor agonist
Bexarotene,2.2017089228868167,2.176262118843491,144,0.93871903,Retinoic receptor agonist
Bicalutamide,1.4940511027428536,1.4675578113668055,144,1.4354973,Androgen receptor antagonist
Bimatoprost,2.2925050499969784,2.3543882023171405,192,1.7848611,unclear
Bimiralisib,4.282283369404625,3.9391280795436083,143,1.7922652,PI3K/AKT inhibitor
Binimetinib,2.7157478807946736,2.7827776079353352,285,1.9068121,MEK inhibitor
Bisoprolol (hemifumarate),2.0364191033015233,2.029009067606511,141,1.4322546,Adrenoceptor agonist
Bortezomib,4.625430532698922,4.630035861787543,137,2.6806204,Proteasome inhibitor
Bosentan (hydrate),2.5021531925437723,2.505594147683695,141,1.2755429,unclear
Brimonidine,2.1506670936081833,2.0666311415144625,143,1.257108,Adrenoceptor agonist
Brivudine,3.7610237219005427,3.3452052287561598,144,2.2481642,unclear
Budesonide,2.786745124836988,2.7877983396465575,144,1.8843441,Glucocorticoid receptor agonist
Busulfan,2.38001707796607,2.3312446747979814,192,1.6085997,DNA synthesis/repair inhibitor
CP21R7,2.1964436747815865,2.3487626890433853,140,1.4149141,GSK3 inhibitor
Cabozantinib (S-malate),1.9430078203032566,1.914049263820508,142,1.605741,Multi-TK inhibitor
Canagliflozin,2.7303340698408545,2.676329928621275,141,1.1270962,Glucose transporter inhibitor
Canagliflozin (hemihydrate),2.294842460457335,2.2244483999107145,140,1.5296404,Glucose transporter inhibitor
Capivasertib,2.2491969726893175,2.1082792229464062,141,1.0031825,PI3K/AKT inhibitor
Capmatinib,2.476429400961095,2.4771030029699705,141,1.6779664,EGFR/ERBB inhibitor
Captopril,1.803242011289673,1.648410218608422,189,0.91523075,unclear
Carbamazepine,2.344423437444468,2.18296289436515,141,1.0288618,HDAC inhibitor
Carbidopa (monohydrate),0.9340402896955331,0.9538958465164223,48,1.058451,unclear
