drug,plate,cell_line,magnitude,log1p_magnitude
4EGI-1,1,A-172,4.150173,1.6390303
9-ING-41,1,A-172,1.5487765,0.93561345
APTO-253,1,A-172,2.4456694,1.2371182
AT7519,1,A-172,2.7631724,1.3252623
AZD-7648,1,A-172,1.8125998,1.0341092
AZD-8055,1,A-172,3.8978167,1.5887895
AZD1390,1,A-172,1.3669527,0.8616033
AZD2858,1,A-172,6.532365,2.0192091
Adagrasib,1,A-172,0.4476337,0.3699303
Afatinib,1,A-172,7.8454623,2.1799047
Alpelisib,1,A-172,3.5735343,1.5202863
Anastrozole,1,A-172,1.1572373,0.7688284
BAY1125976,1,A-172,3.1215637,1.4162326
BI-3406,1,A-172,4.3025913,1.6681956
BI-78D3,1,A-172,4.410166,1.6882797
Belumosudil (mesylate),1,A-172,3.9319482,1.5957341
Bentamapimod,1,A-172,3.4307282,1.4885639
Bimiralisib,1,A-172,4.3872604,1.684037
Binimetinib,1,A-172,7.7021027,2.1635647
Bortezomib,1,A-172,18.911766,2.9913108
Brivudine,1,A-172,2.0084813,1.1014354
CP21R7,1,A-172,3.3375933,1.4673196
Capivasertib,1,A-172,2.0156782,1.1038247
Capmatinib,1,A-172,3.8390858,1.5767258
Celecoxib,1,A-172,1.0629343,0.7241294
DT-061,1,A-172,3.0815082,1.4064666
Dabrafenib,1,A-172,0.91559315,0.65002733
ERK5-IN-2,1,A-172,1.4924825,0.91327924
ETC-206,1,A-172,1.8695102,1.0541413
EX229,1,A-172,2.019918,1.1052296
Elimusertib hydrochloride,1,A-172,2.6835532,1.3038778
Encorafenib,1,A-172,2.170812,1.1539876
Erdafitinib,1,A-172,4.1673636,1.6423626
Everolimus,1,A-172,5.807271,1.9179913
Futibatinib,1,A-172,1.9078766,1.0674231
GSK1059615,1,A-172,5.922333,1.9347528
Gemcitabine,1,A-172,3.0495737,1.3986117
HI-TOPK-032,1,A-172,6.8083577,2.0551946
IQ 1,1,A-172,1.1123836,0.747817
Infigratinib,1,A-172,9.213326,2.3236933
Ipatasertib,1,A-172,2.3206117,1.200149
Irinotecan,1,A-172,6.0097246,1.9472984
Ixazomib,1,A-172,5.2625318,1.8345845
LB-100,1,A-172,3.3690174,1.4745381
LJI308,1,A-172,5.7638683,1.911595
LY-2584702 (tosylate salt),1,A-172,1.366937,0.8615967
LY2090314,1,A-172,2.655492,1.2962307
Lapatinib ditosylate,1,A-172,3.420841,1.4863299
Lonafarnib,1,A-172,4.0422873,1.6178598
MK-3903,1,A-172,2.2798657,1.1878026
MK-8353,1,A-172,2.41289,1.2275594
ML264,1,A-172,1.0735224,0.7292488
Minodronic acid,1,A-172,0.7498393,0.55952394
NG25,1,A-172,3.2308834,1.4424108
NVP-BHG712,1,A-172,1.1283021,0.75532454
OTS514,1,A-172,0.7735994,0.57301104
Oleic acid,1,A-172,2.7667167,1.3262037
Oxaliplatin,1,A-172,1.7147698,0.9987072
PH-797804,1,A-172,0.9033207,0.6436001
Paclitaxel,1,A-172,3.469794,1.4973423
Pemigatinib,1,A-172,2.9432824,1.3720134
Pimitespib,1,A-172,4.7838764,1.7550741
Pralsetinib,1,A-172,8.642641,2.266195
RMC-6236,1,A-172,1.0204229,0.70330685
Regorafenib,1,A-172,3.2548168,1.4480517
SBI-0640756,1,A-172,5.432692,1.8613931
Sapanisertib,1,A-172,1.6561168,0.97686523
TAK-733,1,A-172,2.0015275,1.0991213
TAK-901,1,A-172,7.846156,2.1799831
Temuterkib,1,A-172,5.5187044,1.8746756
Tomivosertib,1,A-172,3.1388664,1.420422
Torkinib,1,A-172,1.2052057,0.7908208
Trametinib,1,A-172,0.63030225,0.48876542
Tubulin inhibitor 6,1,A-172,1.7976418,1.0287769
Tucatinib,1,A-172,2.8805807,1.3559848
ULK-101,1,A-172,3.7372699,1.5554609
Vemurafenib,1,A-172,5.419485,1.8593379
Volasertib,1,A-172,4.923766,1.7789724
XRK3F2,1,A-172,1.5960227,0.95398057
palbociclib,1,A-172,5.9032135,1.931987
venetoclax,1,A-172,5.8627753,1.9261119
vincristine,1,A-172,0.76544684,0.56840384
4EGI-1,1,A-427,0.5080815,0.4108383
9-ING-41,1,A-427,2.784746,1.3309788
APTO-253,1,A-427,0.56256884,0.44633114
AT7519,1,A-427,1.5788317,0.94733644
AZD-7648,1,A-427,0.76123536,0.5660155
AZD-8055,1,A-427,0.5033476,0.40769434
AZD1390,1,A-427,1.8843976,1.059316
AZD2858,1,A-427,2.6575055,1.2967813
Adagrasib,1,A-427,0.7496347,0.559407
Afatinib,1,A-427,5.086478,1.8060696
Alpelisib,1,A-427,0.7525201,0.5610548
Anastrozole,1,A-427,1.1259862,0.7542358
BAY1125976,1,A-427,0.62567866,0.48592538
BI-3406,1,A-427,2.0977354,1.1306713
BI-78D3,1,A-427,1.0437737,0.7147979
Belumosudil (mesylate),1,A-427,2.4832478,1.2479651
Bentamapimod,1,A-427,0.56072205,0.4451486
Bimiralisib,1,A-427,1.2378473,0.8055144
Binimetinib,1,A-427,4.8037186,1.7584989
Bortezomib,1,A-427,6.8249693,2.0573199
Brivudine,1,A-427,1.4094911,0.8794155
CP21R7,1,A-427,2.3619225,1.212513
Capivasertib,1,A-427,1.4649056,0.9021535
Capmatinib,1,A-427,3.866977,1.582473
Celecoxib,1,A-427,1.4626071,0.9012206
DT-061,1,A-427,1.0347195,0.71035796
Dabrafenib,1,A-427,1.5379518,0.9313574
ERK5-IN-2,1,A-427,1.8339046,1.0416555
ETC-206,1,A-427,0.65520775,0.5039265
EX229,1,A-427,1.1086767,0.7460606
Elimusertib hydrochloride,1,A-427,4.2083764,1.6502682
Encorafenib,1,A-427,0.3735095,0.31736913
Erdafitinib,1,A-427,2.980246,1.3813436
Everolimus,1,A-427,3.8398669,1.5768872
Futibatinib,1,A-427,1.6885173,0.98898983
GSK1059615,1,A-427,2.0436826,1.1130681
Gemcitabine,1,A-427,2.1778383,1.1562012
HI-TOPK-032,1,A-427,3.1260157,1.4173123
IQ 1,1,A-427,0.924921,0.65488493
Infigratinib,1,A-427,5.118064,1.8112457
Ipatasertib,1,A-427,0.46314192,0.38058612
Irinotecan,1,A-427,3.5322573,1.5112201
Ixazomib,1,A-427,5.2232957,1.8282996
LB-100,1,A-427,1.1486956,0.764861
LJI308,1,A-427,3.7800593,1.564453
LY-2584702 (tosylate salt),1,A-427,1.0514637,0.71855354
LY2090314,1,A-427,0.92196494,0.6533481
Lapatinib ditosylate,1,A-427,1.9326453,1.0759048
Lonafarnib,1,A-427,1.742303,1.0087981
MK-3903,1,A-427,1.0787749,0.73177874
MK-8353,1,A-427,0.52373296,0.42116323
ML264,1,A-427,2.323189,1.2009249
Minodronic acid,1,A-427,1.371521,0.86353153
NG25,1,A-427,2.2048297,1.1646589
NVP-BHG712,1,A-427,0.9691617,0.6776079
OTS514,1,A-427,0.692109,0.5259757
Oleic acid,1,A-427,2.7147617,1.3123145
Oxaliplatin,1,A-427,2.3812616,1.2182488
PH-797804,1,A-427,2.2582123,1.1811787
Paclitaxel,1,A-427,1.1413643,0.76144314
Pemigatinib,1,A-427,1.5632188,0.9412638
Pimitespib,1,A-427,1.9229894,1.0726068
Pralsetinib,1,A-427,6.4784846,2.0120301
RMC-6236,1,A-427,2.9761436,1.3803124
Regorafenib,1,A-427,2.4205244,1.2297939
SBI-0640756,1,A-427,3.4009988,1.4818316
Sapanisertib,1,A-427,3.186071,1.4317626
TAK-733,1,A-427,1.2053347,0.79087925
TAK-901,1,A-427,1.5575918,0.9390661
Temuterkib,1,A-427,2.3877802,1.2201749
Tomivosertib,1,A-427,0.36441085,0.3107227
Torkinib,1,A-427,1.718958,1.0002487
Trametinib,1,A-427,1.827046,1.0392324
Tubulin inhibitor 6,1,A-427,0.5155838,0.41580072
Tucatinib,1,A-427,0.87664783,0.6294871
ULK-101,1,A-427,0.5985355,0.4690879
Vemurafenib,1,A-427,2.502889,1.2535881
Volasertib,1,A-427,1.9162903,1.0703124
XRK3F2,1,A-427,2.3806827,1.2180777
palbociclib,1,A-427,4.7826653,1.7548647
venetoclax,1,A-427,3.4390554,1.4904416
vincristine,1,A-427,4.096113,1.6284782
4EGI-1,1,A498,1.9835593,1.093117
9-ING-41,1,A498,0.738911,0.553259
APTO-253,1,A498,2.9255965,1.3675183
AT7519,1,A498,2.1835032,1.1579822
AZD-7648,1,A498,2.0436604,1.1130608
AZD-8055,1,A498,3.3087668,1.4606518
AZD1390,1,A498,0.913965,0.649177
AZD2858,1,A498,5.76115,1.911193
Adagrasib,1,A498,1.3032087,0.83430326
Afatinib,1,A498,7.36541,2.1241052
Alpelisib,1,A498,2.1340153,1.142315
Anastrozole,1,A498,0.8505768,0.61549735
BAY1125976,1,A498,1.8055528,1.0316006
BI-3406,1,A498,4.148792,1.6387621
BI-78D3,1,A498,2.0247817,1.106839
Belumosudil (mesylate),1,A498,2.414707,1.2280917
Bentamapimod,1,A498,1.9325377,1.0758681
Bimiralisib,1,A498,3.7380145,1.5556182
Binimetinib,1,A498,7.295256,2.1156838
Bortezomib,1,A498,11.029047,2.4873242
Brivudine,1,A498,1.4972327,0.9151832
CP21R7,1,A498,2.8950381,1.3597034
Capivasertib,1,A498,0.81614596,0.59671664
Capmatinib,1,A498,3.374518,1.4757963
Celecoxib,1,A498,0.9014543,0.642619
DT-061,1,A498,2.5295827,1.2611797
Dabrafenib,1,A498,0.71090776,0.5370241
ERK5-IN-2,1,A498,2.0590208,1.1180949
ETC-206,1,A498,2.4228787,1.230482
EX229,1,A498,2.375905,1.2166635
Elimusertib hydrochloride,1,A498,3.5588508,1.5170705
Encorafenib,1,A498,0.8085672,0.59253496
Erdafitinib,1,A498,3.3961995,1.4807404
Everolimus,1,A498,4.598933,1.7225761
Futibatinib,1,A498,1.6353416,0.96901286
GSK1059615,1,A498,4.2555633,1.6592872
Gemcitabine,1,A498,2.8814318,1.3562042
HI-TOPK-032,1,A498,5.7728224,1.9129179
IQ 1,1,A498,2.616116,1.2854005
Infigratinib,1,A498,9.759021,2.3757446
Ipatasertib,1,A498,1.5766578,0.94649315
Irinotecan,1,A498,4.692282,1.7391112
Ixazomib,1,A498,4.7830553,1.7549322
LB-100,1,A498,3.6278574,1.532094
LJI308,1,A498,3.0861096,1.4075934
LY-2584702 (tosylate salt),1,A498,2.6978166,1.3077426
LY2090314,1,A498,1.5487661,0.93560934
Lapatinib ditosylate,1,A498,3.8284028,1.5745157
Lonafarnib,1,A498,5.127609,1.8128046
MK-3903,1,A498,1.3157506,0.83973384
MK-8353,1,A498,1.0819106,0.733286
ML264,1,A498,2.436619,1.2344881
Minodronic acid,1,A498,1.1967579,0.7869826
NG25,1,A498,3.1287174,1.4179668
NVP-BHG712,1,A498,1.624165,0.9647628
OTS514,1,A498,1.7655585,1.0172427
Oleic acid,1,A498,3.899447,1.5891223
Oxaliplatin,1,A498,2.2157505,1.1680608
PH-797804,1,A498,0.97404796,0.68008626
Paclitaxel,1,A498,3.1248205,1.4170225
Pemigatinib,1,A498,1.8685627,1.0538111
Pimitespib,1,A498,5.126096,1.8125577
Pralsetinib,1,A498,7.9661574,2.1934571
RMC-6236,1,A498,1.3913356,0.87185204
Regorafenib,1,A498,4.935029,1.7808719
SBI-0640756,1,A498,5.9007983,1.931637
Sapanisertib,1,A498,2.116028,1.1365591
TAK-733,1,A498,2.502696,1.253533
TAK-901,1,A498,2.8372605,1.3447587
Temuterkib,1,A498,4.186083,1.6459787
Tomivosertib,1,A498,0.9846946,0.68546504
Torkinib,1,A498,1.9393932,1.0782032
Trametinib,1,A498,1.0274957,0.7068014
Tubulin inhibitor 6,1,A498,0.6643329,0.5094244
Tucatinib,1,A498,1.9032048,1.0658152
ULK-101,1,A498,2.6564817,1.2965014
Vemurafenib,1,A498,4.100799,1.6293972
Volasertib,1,A498,4.358046,1.6785994
XRK3F2,1,A498,0.7182199,0.5412888
palbociclib,1,A498,5.7864203,1.9149237
venetoclax,1,A498,5.422116,1.8597476
vincristine,1,A498,0.8485617,0.6144079
4EGI-1,1,A549,3.1706915,1.4280819
9-ING-41,1,A549,1.3901572,0.8713591
APTO-253,1,A549,1.1278641,0.7551187
AT7519,1,A549,1.9436467,1.0796492
AZD-7648,1,A549,1.3836056,0.8686143
AZD-8055,1,A549,4.0883756,1.6269586
AZD1390,1,A549,1.8166883,1.0355618
AZD2858,1,A549,4.8336687,1.7636461
Adagrasib,1,A549,0.36522374,0.31131834
Afatinib,1,A549,6.7126646,2.0428638
Alpelisib,1,A549,2.367654,1.2142164
Anastrozole,1,A549,0.76759726,0.56962115
BAY1125976,1,A549,2.649924,1.2947063
BI-3406,1,A549,4.3756065,1.6818714
BI-78D3,1,A549,3.1051776,1.412249
Belumosudil (mesylate),1,A549,3.1044247,1.4120656
Bentamapimod,1,A549,3.7902102,1.5665743
Bimiralisib,1,A549,4.01458,1.6123496
Binimetinib,1,A549,8.493974,2.2506573
Bortezomib,1,A549,21.802004,3.1268485
Brivudine,1,A549,2.0156007,1.1037991
CP21R7,1,A549,2.4513745,1.2387726
Capivasertib,1,A549,1.4615885,0.9008069
Capmatinib,1,A549,4.53439,1.7109814
Celecoxib,1,A549,1.0941573,0.73915124
DT-061,1,A549,1.455788,0.8984477
Dabrafenib,1,A549,0.67663294,0.5167876
ERK5-IN-2,1,A549,1.0665345,0.72587305
ETC-206,1,A549,1.6408017,0.97108257
EX229,1,A549,1.4883839,0.9116335
Elimusertib hydrochloride,1,A549,5.836757,1.9223136
Encorafenib,1,A549,1.8283815,1.0397047
Erdafitinib,1,A549,3.8681977,1.5827237
Everolimus,1,A549,5.3749294,1.852373
Futibatinib,1,A549,0.9599454,0.6729166
GSK1059615,1,A549,4.6627183,1.733904
Gemcitabine,1,A549,4.0995,1.6291425
HI-TOPK-032,1,A549,6.840881,2.0593512
IQ 1,1,A549,0.87016654,0.62602746
Infigratinib,1,A549,7.6428676,2.1567345
Ipatasertib,1,A549,3.2267544,1.4414344
Irinotecan,1,A549,4.725237,1.7448839
Ixazomib,1,A549,5.278938,1.8372009
LB-100,1,A549,1.7066115,0.9956975
LJI308,1,A549,5.5055676,1.8726584
LY-2584702 (tosylate salt),1,A549,1.0864474,0.7354628
LY2090314,1,A549,1.0993515,0.7416285
Lapatinib ditosylate,1,A549,3.2656674,1.4505987
Lonafarnib,1,A549,2.6701155,1.3002231
MK-3903,1,A549,1.6352911,0.96899366
MK-8353,1,A549,1.7324828,1.0052106
ML264,1,A549,1.0486451,0.71717864
Minodronic acid,1,A549,0.8936392,0.6385005
NG25,1,A549,3.8742108,1.5839581
NVP-BHG712,1,A549,1.2966064,0.8314326
OTS514,1,A549,0.971108,0.67859584
Oleic acid,1,A549,2.463967,1.2424145
Oxaliplatin,1,A549,2.0594244,1.1182268
PH-797804,1,A549,2.2104087,1.1663983
Paclitaxel,1,A549,2.4969754,1.2518984
Pemigatinib,1,A549,2.8794575,1.3556954
Pimitespib,1,A549,4.4607835,1.6975923
Pralsetinib,1,A549,7.589386,2.1505272
RMC-6236,1,A549,0.8501548,0.6152693
Regorafenib,1,A549,3.5388005,1.5126628
SBI-0640756,1,A549,5.400419,1.8563635
Sapanisertib,1,A549,1.2472143,0.80969137
TAK-733,1,A549,1.5007453,0.9165888
TAK-901,1,A549,4.5932856,1.7215669
Temuterkib,1,A549,3.9505458,1.5994978
Tomivosertib,1,A549,2.489951,1.2498877
Torkinib,1,A549,0.9256521,0.6552647
Trametinib,1,A549,0.82231003,0.6001049
Tubulin inhibitor 6,1,A549,0.58907175,0.46315002
Tucatinib,1,A549,2.0930645,1.1291623
ULK-101,1,A549,3.6320684,1.5330036
Vemurafenib,1,A549,4.47685,1.70053
Volasertib,1,A549,4.0245776,1.6143414
XRK3F2,1,A549,0.7528817,0.5612611
palbociclib,1,A549,4.8589697,1.7679738
venetoclax,1,A549,7.495495,2.139536
vincristine,1,A549,0.9429924,0.6642293
4EGI-1,1,AN3 CA,2.8301346,1.3428999
9-ING-41,1,AN3 CA,0.9651894,0.6755886
APTO-253,1,AN3 CA,0.72884876,0.5474557
AT7519,1,AN3 CA,3.636418,1.5339421
AZD-7648,1,AN3 CA,3.1819513,1.4307779
AZD-8055,1,AN3 CA,3.0134099,1.3896412
AZD1390,1,AN3 CA,1.6545569,0.9762777
AZD2858,1,AN3 CA,5.4059997,1.857235
Adagrasib,1,AN3 CA,0.3698339,0.3146895
Afatinib,1,AN3 CA,7.7025895,2.1636207
Alpelisib,1,AN3 CA,1.0477046,0.71671945
Anastrozole,1,AN3 CA,1.3859048,0.8695784
BAY1125976,1,AN3 CA,3.3179023,1.4627697
BI-3406,1,AN3 CA,4.890086,1.7732706
BI-78D3,1,AN3 CA,2.3363655,1.204882
Belumosudil (mesylate),1,AN3 CA,2.107992,1.1339768
Bentamapimod,1,AN3 CA,3.8996885,1.5891716
Bimiralisib,1,AN3 CA,2.6376486,1.2913375
Binimetinib,1,AN3 CA,7.920399,2.1883407
Bortezomib,1,AN3 CA,14.990761,2.772011
Brivudine,1,AN3 CA,2.487189,1.2490959
CP21R7,1,AN3 CA,2.3682294,1.2143872
Capivasertib,1,AN3 CA,3.0831304,1.4068639
